ZIP,s01_bus,s16_bus,s24_bus,s26_bus,n01_bus,n13_bus,n15_bus,n16_bus,n34_bus,n35_bus,n36_bus,n37_bus,emp_cy,indarts_cy,indfood_cy,crmcytotc,hwfu18_o10,hwfu6_o10,medval_cy,avgval_cy,medval_fy,avgval_fy,acsmedval,medhinc_cy,avghinc_cy,pci_cy,mhigrwcyfy,acsavghinc,meddi_cy,avgdi_cy,acstotpop,medvalgrfy,medvalgrcy,havgmeddis,davgmeddis
92040,535.0,32.0,1.0,11.0,535.0,10.0,3.0,2.0,13.0,35.0,1.0,34.0,6642.0,258.0,398.0,46.0,1061.0,285.0,491694.0,586625.0,584759.0,719524.0,470346.0,74544.0,92093.0,33274.0,2.84,89272.0,58477.0,71258.0,13885.0,0.1892738384567669,0.04538776690400917,1.235401435374606,1.218543725845617
92071,299.0,20.0,0.0,9.0,299.0,6.0,1.0,3.0,6.0,22.0,0.0,22.0,8558.0,150.0,275.0,45.0,1492.0,365.0,581075.0,605439.0,629124.0,678658.0,559539.0,104790.0,123625.0,40118.0,1.89,111216.0,84508.0,94042.0,18665.0,0.08268969979830522,0.038488758623154734,1.1797291752154289,1.1128045533611806
92124,340.0,24.0,1.0,12.0,340.0,9.0,0.0,3.0,10.0,26.0,1.0,25.0,7180.0,142.0,377.0,30.0,1916.0,562.0,680034.0,709406.0,729219.0,756340.0,692894.0,107364.0,149520.0,51348.0,3.08,123267.0,88172.0,105552.0,17469.0,0.07232715963148956,-0.01855981064952121,1.392632608391934,1.1971011534143106
92131,482.0,32.0,2.0,14.0,482.0,12.0,3.0,7.0,12.0,36.0,2.0,34.0,7385.0,127.0,204.0,18.0,2151.0,593.0,850866.0,878047.0,883512.0,928413.0,852315.0,164461.0,213017.0,73449.0,2.64,181350.0,124390.0,143074.0,14652.0,0.038367923541517066,-0.0017000736815922734,1.295235373520935,1.1501957537120853
92111,3069.0,238.0,10.0,84.0,3069.0,35.0,9.0,35.0,53.0,250.0,10.0,239.0,3788.0,73.0,305.0,174.0,302.0,106.0,603689.0,601748.0,632884.0,655003.0,583587.0,97258.0,120343.0,51841.0,1.88,113806.0,79015.0,89974.0,7762.0,0.04836091371399228,0.03444553349280657,1.2373456441049158,1.138680773514225
92117,814.0,85.0,5.0,16.0,814.0,16.0,3.0,9.0,8.0,91.0,5.0,86.0,9911.0,274.0,1076.0,57.0,1227.0,335.0,634672.0,695242.0,674990.0,784543.0,657214.0,96331.0,122826.0,46486.0,2.79,114205.0,77807.0,90770.0,18638.0,0.06352562658250785,-0.03429927801404411,1.2750280280695927,1.166589553773391
92037,2102.0,129.0,18.0,73.0,2102.0,17.0,2.0,60.0,65.0,147.0,18.0,129.0,4670.0,96.0,119.0,139.0,460.0,121.0,1845925.0,1732282.0,1869177.0,1776552.0,2000001.0,130716.0,201982.0,95172.0,2.69,198985.0,105296.0,130151.0,8563.0,0.012596387937544626,-0.07703792296207704,1.5451854005217378,1.2360371140678272
92145,826.0,42.0,4.0,17.0,826.0,5.0,2.0,10.0,14.0,46.0,4.0,42.0,467.0,10.0,117.0,49.0,338.0,139.0,500000.0,537500.0,625000.0,625000.0,625000.0,54052.0,82491.0,19913.0,4.75,66610.0,45958.0,62087.0,5033.0,0.249999500001,-0.199999680000512,1.5261132592085547,1.3509214734872386
92122,671.0,21.0,2.0,18.0,671.0,3.0,3.0,2.0,11.0,25.0,2.0,23.0,7345.0,161.0,225.0,45.0,969.0,268.0,819661.0,861550.0,863202.0,918987.0,809860.0,115453.0,160230.0,65961.0,2.33,136508.0,95825.0,110629.0,14820.0,0.05312067657156243,0.012102076776138128,1.387825454293485,1.1544779078746896
92093,911.0,67.0,8.0,22.0,911.0,5.0,1.0,2.0,24.0,76.0,8.0,68.0,9155.0,292.0,801.0,105.0,556.0,340.0,655394.0,838745.0,700696.0,901325.0,589628.0,78168.0,110881.0,37057.0,3.49,,61474.0,79981.0,10499.0,0.06912167471524806,0.11153793317492865,1.4184779132392638,1.3010329402196015
92121,1673.0,47.0,2.0,23.0,1673.0,11.0,2.0,10.0,20.0,49.0,2.0,47.0,547.0,0.0,46.0,198.0,87.0,24.0,608382.0,603030.0,618952.0,617337.0,610417.0,109512.0,122559.0,40814.0,1.7,125415.0,90444.0,96740.0,912.0,0.017373923991959014,-0.0033337811139252118,1.1191274095312884,1.069600309580408
92126,790.0,79.0,2.0,26.0,790.0,17.0,3.0,9.0,21.0,87.0,2.0,84.0,16337.0,324.0,1000.0,42.0,2351.0,739.0,615850.0,646380.0,661548.0,734655.0,595284.0,111112.0,136763.0,47032.0,2.21,123965.0,91035.0,101062.0,32286.0,0.07420301339122612,0.034548157605180714,1.2308460756167146,1.1101322553715014
92065,660.0,35.0,1.0,18.0,660.0,22.0,2.0,8.0,14.0,39.0,1.0,38.0,4503.0,125.0,253.0,97.0,813.0,201.0,621367.0,685027.0,744348.0,825279.0,486821.0,85450.0,107497.0,35476.0,2.92,89520.0,69556.0,82492.0,9156.0,0.19791975125851347,0.2763761703456294,1.2579958104644766,1.18596259183116
92064,727.0,53.0,3.0,28.0,727.0,15.0,4.0,5.0,19.0,58.0,3.0,55.0,7440.0,160.0,611.0,41.0,1308.0,275.0,611049.0,624550.0,676959.0,779263.0,608529.0,103746.0,131959.0,44948.0,2.49,122367.0,83259.0,96013.0,13918.0,0.10786351362408968,0.004141126978127619,1.27193075462423,1.15317079029546
